name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,1.202,23.036,184.548,1.764,72.177,82.576
BALI,0.864,17.449,143.099,2.247,45.599,140.254
BANGKA BELITUNG,0.547,17.855,182.028,1.627,35.031,221.588
BANTEN,0.692,28.253,85.254,1.727,32.55,170.867
BENGKULU,0.49,11.979,222.412,1.593,46.503,437.533
GORONTALO,0.401,18.515,257.391,1.787,37.37,68.351
JAKARTA,0.755,32.213,68.711,1.774,66.901,313.942
JAMBI,0.618,20.499,157.696,1.481,14.382,106.934
JAWA BARAT,0.54,33.511,211.851,1.676,45.298,214.806
JAWA TENGAH,0.989,37.159,174.657,1.927,24.109,73.278
JAWA TIMUR,1.129,31.862,213.518,1.945,19.775,112.544
KALIMANTAN BARAT,0.777,34.604,209.383,1.628,56.553,250.506
KALIMANTAN SELATAN,0.912,27.994,211.799,1.749,41.913,202.325
KALIMANTAN TENGAH,0.797,30.252,185.668,1.784,22.103,73.536
KALIMANTAN TIMUR,0.624,16.368,205.899,1.612,33.325,60.087
KALIMANTAN UTARA,0.51,12.275,174.643,1.753,43.835,247.361
KEPULAUAN RIAU,0.717,20.437,67.298,1.684,39.893,335.923
LAMPUNG,0.574,19.408,231.8,1.51,14.557,62.647
MALUKU UTARA,0.425,14.666,231.814,1.725,25.905,172.565
MALUKU,0.743,15.889,153.757,1.87,105.268,495.04
NUSA TENGGARA BARAT,0.941,18.647,172.95,2.147,25.904,147.703
NUSA TENGGARA TIMUR,1.107,32.733,296.985,2.066,226.066,126.017
PAPUA BARAT DAYA,0.709,35.504,61.864,1.755,57.667,89.402
PAPUA BARAT,0.323,10.083,213.287,1.744,28.73,194.176
PAPUA PEGUNUNGAN,1.026,20.108,140.047,1.743,2.065,50.879
PAPUA SELATAN,0.918,67.799,77.617,1.764,15.322,222.449
PAPUA TENGAH,1.41,31.331,142.1,2.038,20.078,90.767
PAPUA,0.753,21.327,134.991,1.755,71.495,203.097
RIAU,0.774,24.138,163.446,1.893,19.074,0.459
SULAWESI BARAT,0.633,18.396,177.513,1.768,26.046,96.968
SULAWESI SELATAN,0.909,66.158,77.725,1.758,15.973,298.749
SULAWESI TENGAH,0.689,15.295,161.756,1.654,36.146,45.385
SULAWESI TENGGARA,0.7,24.402,318.154,1.768,21.218,59.612
SULAWESI UTARA,0.76,39.013,77.429,1.728,29.598,263.091
SUMATERA BARAT,0.554,19.585,234.604,1.438,29.752,284.108
SUMATERA SELATAN,0.774,25.4,142.502,1.67,67.377,76.688
SUMATERA UTARA,0.678,13.856,136.041,1.837,52.099,38.74
YOGYAKARTA,1.182,23.52,351.11,2.316,22.138,53.522
