name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.78,3.384,10.221,1.027,5.498,4.377
BALI,0.604,3.19,9.064,1.129,4.66,6.243
BANGKA BELITUNG,0.565,2.96,9.233,1.003,3.803,8.754
BANTEN,0.626,3.607,7.118,1.006,4.697,5.843
BENGKULU,0.508,2.691,10.981,0.974,4.366,12.017
GORONTALO,0.455,3.032,11.855,0.988,3.216,3.015
JAKARTA,0.656,4.033,6.29,1.011,4.719,7.851
JAMBI,0.612,3.19,9.035,0.904,2.616,5.503
JAWA BARAT,0.526,3.71,10.359,0.984,4.313,8.285
JAWA TENGAH,0.76,3.779,8.878,1.054,3.055,4.273
JAWA TIMUR,0.831,3.803,10.143,1.047,3.308,4.208
KALIMANTAN BARAT,0.665,3.549,8.812,0.999,4.598,11.384
KALIMANTAN SELATAN,0.744,3.943,10.926,1.021,4.033,8.441
KALIMANTAN TENGAH,0.691,3.822,9.321,1.035,3.059,3.791
KALIMANTAN TIMUR,0.608,3.016,10.255,0.978,3.041,5.884
KALIMANTAN UTARA,0.558,2.59,10.005,1.009,4.239,9.988
KEPULAUAN RIAU,0.662,3.609,6.382,1.02,3.843,7.902
LAMPUNG,0.522,3.225,10.634,0.923,2.66,2.865
MALUKU UTARA,0.445,2.731,12.092,1.007,3.794,8.292
MALUKU,0.59,3.057,9.76,1.042,4.592,11.935
NUSA TENGGARA BARAT,0.708,3.166,9.42,1.088,3.56,6.345
NUSA TENGGARA TIMUR,0.796,4.179,13.11,1.117,6.779,5.237
PAPUA BARAT DAYA,0.627,4.167,5.904,1.003,4.317,6.161
PAPUA BARAT,0.457,2.329,11.206,1.018,3.944,7.555
PAPUA PEGUNUNGAN,0.555,3.16,7.754,0.987,1.008,3.278
PAPUA SELATAN,0.747,5.191,6.179,0.984,2.749,8.298
PAPUA TENGAH,0.922,3.709,8.873,1.071,3.219,5.201
PAPUA,0.674,3.585,7.926,1.04,4.783,7.994
RIAU,0.7,3.877,9.705,1.085,2.594,0.41
SULAWESI BARAT,0.574,3.083,9.094,0.962,2.829,6.401
SULAWESI SELATAN,0.745,5.096,6.307,0.988,2.978,10.625
SULAWESI TENGAH,0.628,3.008,9.078,0.977,4.695,4.218
SULAWESI TENGGARA,0.562,3.516,12.973,0.99,3.257,4.841
SULAWESI UTARA,0.676,4.669,6.162,1.015,3.717,10.148
SUMATERA BARAT,0.567,3.192,11.056,0.944,3.959,9.031
SUMATERA SELATAN,0.682,3.709,9.169,1.037,3.568,3.91
SUMATERA UTARA,0.622,2.814,8.886,1.059,3.351,2.36
YOGYAKARTA,0.781,3.329,14.05,1.087,3.331,4.527
