name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.588,3.529,10.063,1.024,5.219,4.013
BALI,0.543,3.124,9.029,1.18,4.598,6.05
BANGKA BELITUNG,0.552,2.894,9.099,1.011,3.623,8.279
BANTEN,0.607,3.521,6.948,1.06,4.6,6.104
BENGKULU,0.496,2.677,10.716,1.018,4.331,12.007
GORONTALO,0.438,2.689,11.335,1.022,3.133,3.276
JAKARTA,0.623,3.99,6.426,1.058,4.677,8.613
JAMBI,0.599,3.117,8.424,0.934,2.837,5.032
JAWA BARAT,0.462,3.733,9.487,1.042,4.31,8.779
JAWA TENGAH,0.665,3.587,8.61,1.095,2.817,4.63
JAWA TIMUR,0.748,3.571,9.739,1.081,3.358,4.073
KALIMANTAN BARAT,0.665,3.376,8.391,1.01,4.466,10.342
KALIMANTAN SELATAN,0.702,3.616,10.619,1.042,4.029,8.335
KALIMANTAN TENGAH,0.673,3.459,8.849,1.046,2.943,3.774
KALIMANTAN TIMUR,0.575,2.947,9.991,0.997,3.18,5.791
KALIMANTAN UTARA,0.544,2.56,9.919,1.031,4.081,9.865
KEPULAUAN RIAU,0.649,3.476,5.841,1.064,3.638,8.124
LAMPUNG,0.492,3.028,10.455,0.949,2.63,2.947
MALUKU UTARA,0.44,2.506,11.444,1.044,3.629,7.069
MALUKU,0.562,2.969,9.554,1.08,4.404,11.96
NUSA TENGGARA BARAT,0.638,2.937,9.361,1.156,3.491,6.119
NUSA TENGGARA TIMUR,0.723,3.977,12.918,1.137,6.137,5.264
PAPUA BARAT DAYA,0.601,3.958,5.79,1.06,4.377,5.718
PAPUA BARAT,0.45,2.317,10.433,1.054,3.865,7.803
PAPUA PEGUNUNGAN,0.549,3.244,7.843,1.058,0.938,2.655
PAPUA SELATAN,0.681,4.543,6.209,1.036,2.752,7.254
PAPUA TENGAH,0.706,3.238,8.596,1.171,3.123,5.536
PAPUA,0.675,3.327,8.325,1.089,4.769,8.392
RIAU,0.696,3.795,9.581,1.096,2.601,0.393
SULAWESI BARAT,0.491,2.878,8.469,0.994,2.76,5.463
SULAWESI SELATAN,0.679,4.474,6.142,1.036,2.832,9.982
SULAWESI TENGAH,0.531,2.973,8.988,1.02,4.571,4.513
SULAWESI TENGGARA,0.567,3.113,12.829,1.046,3.386,4.507
SULAWESI UTARA,0.671,4.482,6.083,1.025,3.624,10.54
SUMATERA BARAT,0.565,3.097,11.294,0.975,3.909,9.391
SUMATERA SELATAN,0.681,3.653,8.864,1.047,3.518,3.74
SUMATERA UTARA,0.616,2.757,8.341,1.068,3.533,2.319
YOGYAKARTA,0.781,2.956,13.733,1.185,3.309,4.668
