name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.032,0.046,0.155,0.001,0.368,1595312811464482.0
BALI,0.024,0.04,0.202,0.001,0.214,1881269479975300.8
BANGKA BELITUNG,0.022,0.038,0.137,0.001,0.269,3256071535177414.0
BANTEN,0.023,0.054,0.134,0.001,0.24,4867003334763222.0
BENGKULU,0.02,0.033,0.181,0.001,0.226,4059396826928307.5
GORONTALO,0.019,0.041,0.213,0.001,0.265,1433511786540103.5
JAKARTA,0.024,0.058,0.123,0.001,0.22,5968455668446096.0
JAMBI,0.023,0.04,0.125,0.001,0.292,2107881806020085.5
JAWA BARAT,0.024,0.049,0.208,0.001,0.26,2801929186173132.0
JAWA TENGAH,0.028,0.056,0.165,0.001,0.187,4193948312905187.5
JAWA TIMUR,0.03,0.055,0.228,0.001,0.188,2521541331701252.0
KALIMANTAN BARAT,0.025,0.05,0.176,0.001,0.29,9087433114294996.0
KALIMANTAN SELATAN,0.027,0.051,0.217,0.001,0.278,7952698922509425.0
KALIMANTAN TENGAH,0.026,0.05,0.148,0.001,0.295,1487039577876228.5
KALIMANTAN TIMUR,0.023,0.037,0.158,0.001,0.247,1830254402281441.2
KALIMANTAN UTARA,0.021,0.03,0.157,0.001,0.246,1686024280011200.2
KEPULAUAN RIAU,0.024,0.046,0.101,0.001,0.236,6663078398009747.0
LAMPUNG,0.021,0.041,0.183,0.001,0.277,966950827106960.2
MALUKU UTARA,0.019,0.035,0.197,0.001,0.246,2507320814191944.5
MALUKU,0.022,0.038,0.157,0.001,0.236,8599814629046020.0
NUSA TENGGARA BARAT,0.027,0.041,0.198,0.001,0.18,7010179813479327.0
NUSA TENGGARA TIMUR,0.031,0.054,0.341,0.001,0.286,3003050059369998.0
PAPUA BARAT DAYA,0.024,0.057,0.113,0.001,0.25,4422545352590091.0
PAPUA BARAT,0.017,0.03,0.167,0.001,0.264,656765439204128.8
PAPUA PEGUNUNGAN,0.028,0.036,0.102,0.001,0.266,779810308900019.2
PAPUA SELATAN,0.028,0.074,0.15,0.001,0.19,1.1576202611438436e+16
PAPUA TENGAH,0.033,0.053,0.154,0.001,0.217,2779104646144618.0
PAPUA,0.026,0.046,0.145,0.001,0.312,6024927512784389.0
RIAU,0.026,0.05,0.158,0.001,0.278,384456692550125.5
SULAWESI BARAT,0.024,0.04,0.137,0.001,0.266,1301248109333601.2
SULAWESI SELATAN,0.028,0.074,0.161,0.001,0.181,1.2269151542849444e+16
SULAWESI TENGAH,0.026,0.036,0.136,0.001,0.248,1212712880732283.5
SULAWESI TENGGARA,0.023,0.046,0.254,0.001,0.334,1708512775225956.8
SULAWESI UTARA,0.026,0.062,0.145,0.001,0.224,1.100134686372526e+16
SUMATERA BARAT,0.021,0.042,0.202,0.001,0.246,4519007352507441.0
SUMATERA SELATAN,0.025,0.048,0.148,0.001,0.285,3335615528668654.5
SUMATERA UTARA,0.023,0.034,0.154,0.001,0.249,2898208788807425.0
YOGYAKARTA,0.033,0.044,0.396,0.001,0.267,2710291087681319.5
