name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.872,3.734,10.099,1.046,5.682,5.255
BALI,0.731,3.269,9.33,1.155,4.912,7.868
BANGKA BELITUNG,0.582,3.148,9.603,1.028,4.099,8.448
BANTEN,0.643,4.159,7.267,1.039,4.67,6.223
BENGKULU,0.537,2.704,11.18,0.989,4.45,12.549
GORONTALO,0.495,3.396,12.191,0.992,3.514,3.359
JAKARTA,0.668,4.389,6.501,1.039,4.775,7.04
JAMBI,0.637,3.265,9.581,0.975,2.718,5.923
JAWA BARAT,0.561,4.316,10.557,1.015,4.462,7.444
JAWA TENGAH,0.779,4.341,9.53,1.074,3.346,5.48
JAWA TIMUR,0.849,4.228,10.331,1.038,3.274,4.814
KALIMANTAN BARAT,0.682,4.043,11.392,1.005,4.765,10.431
KALIMANTAN SELATAN,0.75,4.002,11.177,1.036,4.475,9.132
KALIMANTAN TENGAH,0.693,4.184,9.561,1.033,3.189,3.685
KALIMANTAN TIMUR,0.621,3.124,10.797,0.988,3.205,6.059
KALIMANTAN UTARA,0.566,2.708,10.253,1.031,3.961,10.37
KEPULAUAN RIAU,0.671,3.622,6.463,1.049,3.96,8.712
LAMPUNG,0.582,3.428,11.777,0.961,2.831,3.214
MALUKU UTARA,0.498,2.944,12.054,1.027,3.992,7.904
MALUKU,0.635,3.136,10.095,1.047,4.751,12.558
NUSA TENGGARA BARAT,0.849,3.362,10.357,1.12,3.697,6.454
NUSA TENGGARA TIMUR,0.904,4.228,13.486,1.118,6.813,5.516
PAPUA BARAT DAYA,0.639,4.336,5.961,1.036,4.683,6.443
PAPUA BARAT,0.454,2.494,11.753,1.019,4.15,7.932
PAPUA PEGUNUNGAN,0.679,3.193,7.57,1.021,1.093,3.918
PAPUA SELATAN,0.754,6.132,6.302,1.017,3.178,7.527
PAPUA TENGAH,0.907,4.116,9.307,1.091,3.405,5.891
PAPUA,0.686,3.682,8.406,1.053,4.909,8.039
RIAU,0.71,4.0,9.954,1.099,2.643,0.42
SULAWESI BARAT,0.622,3.209,9.731,0.991,3.262,6.167
SULAWESI SELATAN,0.743,6.118,6.46,1.018,3.038,10.072
SULAWESI TENGAH,0.651,3.046,9.219,0.991,4.734,4.517
SULAWESI TENGGARA,0.59,3.948,13.711,1.004,3.25,4.603
SULAWESI UTARA,0.684,4.669,6.428,1.014,4.014,10.573
SUMATERA BARAT,0.572,3.341,11.315,0.955,4.085,9.98
SUMATERA SELATAN,0.704,3.857,9.485,1.033,3.789,4.462
SUMATERA UTARA,0.637,2.87,9.495,1.068,3.809,2.708
YOGYAKARTA,0.869,3.487,14.841,1.129,3.763,4.661
