name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,1.108,22.167,184.398,1.712,70.629,82.366
BALI,0.682,16.761,142.216,2.089,45.519,136.286
BANGKA BELITUNG,0.549,16.482,159.409,1.589,35.404,222.403
BANTEN,0.662,28.264,81.803,1.636,31.805,168.192
BENGKULU,0.474,11.866,208.764,1.532,45.159,434.103
GORONTALO,0.397,17.355,241.144,1.604,34.608,67.209
JAKARTA,0.748,30.954,63.717,1.647,64.722,304.303
JAMBI,0.605,19.401,133.852,1.445,13.904,103.998
JAWA BARAT,0.515,25.74,230.592,1.544,42.886,211.57
JAWA TENGAH,0.972,28.174,135.492,1.823,18.669,72.305
JAWA TIMUR,1.098,28.532,193.131,1.697,20.484,110.453
KALIMANTAN BARAT,0.737,29.239,190.233,1.601,55.245,250.735
KALIMANTAN SELATAN,0.873,26.811,189.833,1.697,43.834,199.667
KALIMANTAN TENGAH,0.808,27.927,160.917,1.659,21.682,72.478
KALIMANTAN TIMUR,0.605,16.307,184.063,1.572,33.14,60.993
KALIMANTAN UTARA,0.509,11.188,167.686,1.722,43.842,247.143
KEPULAUAN RIAU,0.699,20.743,62.822,1.69,37.433,342.694
LAMPUNG,0.509,17.784,204.757,1.445,13.624,62.444
MALUKU UTARA,0.416,13.365,225.341,1.632,24.493,172.849
MALUKU,0.571,15.523,150.165,1.816,105.791,498.671
NUSA TENGGARA BARAT,0.831,17.712,158.45,1.933,23.867,147.249
NUSA TENGGARA TIMUR,1.047,27.002,271.592,1.999,222.093,122.444
PAPUA BARAT DAYA,0.704,30.938,57.883,1.662,54.199,86.732
PAPUA BARAT,0.332,9.525,194.946,1.605,28.117,194.555
PAPUA PEGUNUNGAN,0.542,18.586,113.87,1.643,2.03,50.641
PAPUA SELATAN,0.925,50.63,71.399,1.634,13.138,219.487
PAPUA TENGAH,1.347,25.535,131.341,1.863,20.967,85.209
PAPUA,0.75,21.052,124.315,1.722,71.951,202.597
RIAU,0.766,25.595,161.421,1.829,18.818,0.457
SULAWESI BARAT,0.619,17.905,139.89,1.565,22.185,97.074
SULAWESI SELATAN,0.913,51.327,71.129,1.646,15.366,294.759
SULAWESI TENGAH,0.649,14.76,147.82,1.586,34.839,45.076
SULAWESI TENGGARA,0.607,22.353,279.878,1.658,21.766,56.899
SULAWESI UTARA,0.774,38.75,65.499,1.682,29.634,261.444
SUMATERA BARAT,0.525,18.396,240.089,1.409,29.96,283.194
SUMATERA SELATAN,0.754,24.473,137.843,1.644,66.012,72.878
SUMATERA UTARA,0.646,13.434,134.117,1.845,51.852,38.532
YOGYAKARTA,1.123,18.918,337.359,1.988,21.948,53.56
