name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,0.591,19.5,173.32,1.72,69.166,79.888
BALI,0.48,15.714,139.014,2.229,40.331,140.85
BANGKA BELITUNG,0.517,13.821,149.338,1.582,31.29,221.165
BANTEN,0.606,20.7,76.646,1.731,31.281,166.559
BENGKULU,0.413,11.85,193.433,1.629,45.919,435.96
GORONTALO,0.296,11.82,208.625,1.699,32.885,66.728
JAKARTA,0.64,26.146,63.191,1.753,65.593,304.487
JAMBI,0.575,17.018,128.006,1.485,13.959,99.254
JAWA BARAT,0.35,23.868,158.031,1.668,42.639,211.433
JAWA TENGAH,0.694,22.051,124.971,1.9,15.881,73.331
JAWA TIMUR,0.915,21.662,172.448,1.873,19.208,106.758
KALIMANTAN BARAT,0.698,19.199,106.97,1.613,55.57,255.134
KALIMANTAN SELATAN,0.767,21.353,180.595,1.736,41.635,204.43
KALIMANTAN TENGAH,0.728,20.141,143.642,1.744,21.214,71.874
KALIMANTAN TIMUR,0.52,14.276,163.461,1.6,33.73,58.24
KALIMANTAN UTARA,0.483,10.863,160.818,1.764,43.518,244.977
KEPULAUAN RIAU,0.662,18.768,54.904,1.717,35.844,337.241
LAMPUNG,0.376,15.433,180.972,1.496,11.967,62.386
MALUKU UTARA,0.316,9.97,203.774,1.759,22.38,167.627
MALUKU,0.498,14.488,142.583,1.938,103.155,479.057
NUSA TENGGARA BARAT,0.651,13.825,135.189,2.161,23.037,144.741
NUSA TENGGARA TIMUR,0.836,25.654,255.644,2.119,216.579,121.783
PAPUA BARAT DAYA,0.615,26.307,52.969,1.751,52.056,83.513
PAPUA BARAT,0.313,8.689,187.504,1.717,28.558,197.011
PAPUA PEGUNUNGAN,0.501,18.259,109.897,1.807,1.56,34.352
PAPUA SELATAN,0.767,33.707,68.166,1.746,13.806,199.801
PAPUA TENGAH,0.788,17.904,122.296,2.175,17.824,84.36
PAPUA,0.737,17.836,123.24,1.822,67.856,202.08
RIAU,0.758,22.385,143.529,1.846,19.062,0.463
SULAWESI BARAT,0.41,14.31,121.043,1.611,21.227,100.979
SULAWESI SELATAN,0.759,33.306,67.559,1.752,14.671,295.912
SULAWESI TENGAH,0.451,14.412,139.716,1.662,34.051,58.635
SULAWESI TENGGARA,0.54,15.567,263.028,1.755,21.304,54.268
SULAWESI UTARA,0.719,33.225,61.361,1.722,26.053,265.887
SUMATERA BARAT,0.508,16.545,217.728,1.494,29.318,281.757
SUMATERA SELATAN,0.725,21.078,122.954,1.679,64.632,70.721
SUMATERA UTARA,0.618,12.138,113.148,1.829,50.13,37.201
YOGYAKARTA,0.958,13.813,304.232,2.247,18.865,49.971
