name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.023,0.044,0.151,0.001,0.328,1621107027329117.8
BALI,0.02,0.039,0.195,0.001,0.208,1818585299128307.8
BANGKA BELITUNG,0.021,0.035,0.128,0.001,0.227,2523560798856664.0
BANTEN,0.022,0.046,0.13,0.001,0.243,4605648331080582.0
BENGKULU,0.019,0.033,0.173,0.001,0.211,3417404398809046.0
GORONTALO,0.016,0.033,0.196,0.001,0.212,966242608422348.5
JAKARTA,0.022,0.053,0.129,0.001,0.228,6458028469630640.0
JAMBI,0.022,0.037,0.12,0.001,0.308,1639135116853719.0
JAWA BARAT,0.02,0.048,0.162,0.001,0.254,2460530756895575.0
JAWA TENGAH,0.024,0.049,0.156,0.001,0.168,3117280342436476.0
JAWA TIMUR,0.027,0.047,0.223,0.001,0.214,1640365459438103.8
KALIMANTAN BARAT,0.025,0.041,0.128,0.001,0.259,7567050892474228.0
KALIMANTAN SELATAN,0.026,0.045,0.2,0.001,0.237,6914850074998170.0
KALIMANTAN TENGAH,0.025,0.042,0.135,0.001,0.282,1294631418716116.2
KALIMANTAN TIMUR,0.021,0.035,0.147,0.001,0.285,1794288177592241.5
KALIMANTAN UTARA,0.02,0.03,0.154,0.001,0.267,1693827197099018.5
KEPULAUAN RIAU,0.024,0.043,0.093,0.001,0.209,8402090334217219.0
LAMPUNG,0.019,0.037,0.165,0.001,0.234,451916397927148.3
MALUKU UTARA,0.016,0.031,0.183,0.001,0.227,1675298689639612.5
MALUKU,0.021,0.036,0.155,0.001,0.212,6628206229013587.0
NUSA TENGGARA BARAT,0.024,0.036,0.179,0.001,0.17,7673420244136650.0
NUSA TENGGARA TIMUR,0.027,0.052,0.336,0.001,0.251,2983531248609694.5
PAPUA BARAT DAYA,0.022,0.052,0.111,0.001,0.249,4471086291870727.0
PAPUA BARAT,0.017,0.029,0.16,0.001,0.255,523545680487815.0
PAPUA PEGUNUNGAN,0.027,0.037,0.1,0.001,0.232,144855915158246.75
PAPUA SELATAN,0.025,0.058,0.156,0.001,0.18,8509883375203881.0
PAPUA TENGAH,0.026,0.043,0.149,0.001,0.182,2526153298669734.0
PAPUA,0.025,0.042,0.16,0.001,0.263,6779074110177224.0
RIAU,0.026,0.046,0.157,0.001,0.271,343566824725539.06
SULAWESI BARAT,0.019,0.036,0.126,0.001,0.22,1166686263420156.2
SULAWESI SELATAN,0.025,0.059,0.153,0.001,0.164,1.0709797528666338e+16
SULAWESI TENGAH,0.022,0.036,0.131,0.001,0.247,1519127400268385.0
SULAWESI TENGGARA,0.021,0.038,0.238,0.001,0.324,1165879141257046.0
SULAWESI UTARA,0.025,0.057,0.133,0.001,0.233,1.0201956897635356e+16
SUMATERA BARAT,0.021,0.039,0.19,0.001,0.248,4304125137196207.0
SUMATERA SELATAN,0.025,0.046,0.148,0.001,0.249,2511936534451427.5
SUMATERA UTARA,0.023,0.032,0.141,0.001,0.248,2357014994944475.5
YOGYAKARTA,0.03,0.037,0.351,0.001,0.247,2147522171375468.5
