name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.033,0.047,0.156,0.001,0.379,2617101675787713.5
BALI,0.027,0.041,0.208,0.001,0.229,4092019801850221.5
BANGKA BELITUNG,0.022,0.038,0.134,0.001,0.275,3254076510291248.0
BANTEN,0.023,0.054,0.137,0.001,0.243,4873145610707744.0
BENGKULU,0.02,0.033,0.181,0.001,0.224,4017642782381302.5
GORONTALO,0.018,0.043,0.212,0.001,0.271,1146765235786752.8
JAKARTA,0.024,0.059,0.126,0.001,0.241,3546400520271804.0
JAMBI,0.024,0.04,0.133,0.001,0.281,2770377067485654.0
JAWA BARAT,0.024,0.056,0.18,0.001,0.273,2482481400913083.5
JAWA TENGAH,0.028,0.061,0.169,0.001,0.209,5523845930363929.0
JAWA TIMUR,0.03,0.056,0.242,0.001,0.196,2769130890537234.5
KALIMANTAN BARAT,0.025,0.051,0.183,0.001,0.305,8387609589757836.0
KALIMANTAN SELATAN,0.027,0.05,0.22,0.001,0.284,9338066736159440.0
KALIMANTAN TENGAH,0.026,0.052,0.142,0.001,0.339,1248900637421779.8
KALIMANTAN TIMUR,0.023,0.037,0.163,0.001,0.291,2210746477482598.2
KALIMANTAN UTARA,0.021,0.032,0.158,0.001,0.25,1985656680439022.2
KEPULAUAN RIAU,0.025,0.045,0.101,0.001,0.247,1.0026856192658018e+16
LAMPUNG,0.022,0.042,0.195,0.001,0.27,866608204157779.8
MALUKU UTARA,0.019,0.037,0.2,0.001,0.269,2742360273131235.0
MALUKU,0.023,0.038,0.168,0.001,0.235,8614718173917321.0
NUSA TENGGARA BARAT,0.032,0.041,0.2,0.001,0.188,9279006797880260.0
NUSA TENGGARA TIMUR,0.034,0.055,0.329,0.001,0.306,3895317167289580.5
PAPUA BARAT DAYA,0.024,0.057,0.116,0.001,0.269,5989724956672131.0
PAPUA BARAT,0.017,0.031,0.17,0.001,0.287,642524939984656.2
PAPUA PEGUNUNGAN,0.033,0.037,0.101,0.001,0.27,685261450405458.2
PAPUA SELATAN,0.028,0.083,0.157,0.001,0.237,7926233104119365.0
PAPUA TENGAH,0.034,0.056,0.164,0.001,0.199,3198819299256260.5
PAPUA,0.025,0.046,0.155,0.001,0.263,5668719526022504.0
RIAU,0.026,0.049,0.16,0.001,0.285,427884232858391.44
SULAWESI BARAT,0.024,0.04,0.145,0.001,0.296,1269687743692215.2
SULAWESI SELATAN,0.028,0.081,0.166,0.001,0.178,1.1296840564106462e+16
SULAWESI TENGAH,0.027,0.036,0.134,0.001,0.262,1630037888938879.0
SULAWESI TENGGARA,0.022,0.049,0.257,0.001,0.293,1353127255304199.2
SULAWESI UTARA,0.026,0.06,0.145,0.001,0.27,1.1226391594458466e+16
SUMATERA BARAT,0.021,0.042,0.197,0.001,0.274,5154941259218232.0
SUMATERA SELATAN,0.026,0.048,0.158,0.001,0.273,3922581292758407.0
SUMATERA UTARA,0.024,0.034,0.164,0.001,0.277,3138090955304995.5
YOGYAKARTA,0.033,0.044,0.395,0.001,0.266,2265632402139145.0
